Points:0,Points:1,Points:2,U:0,U:1,U:2,wss,p
32.04553,-208.7932,-178.1875,0.2055507,0.7267873,0.24012440000000002,0.0,43.62253120630349
32.02256,-208.8556,-178.2145,0.20377230000000002,0.7281107,0.2367022,0.0,43.978821894529496
32.24484,-208.2516,-177.4318,0.144869,0.5446447,0.2262479,0.0,10.481555023477448
31.66037,-209.8396,-178.3332,0.21761679999999997,0.7388189,0.2083755,0.0,49.982274661533495
31.62241,-209.9427,-178.404,0.2137949,0.7292878,0.2057834,0.0,51.571517249043
31.67002,-209.8134,-178.3911,0.2152404,0.7296772,0.20862660000000002,0.0,50.703295343689994
31.64214,-209.8891,-178.311,0.2160501,0.7403743,0.2059809,0.0,48.0360481095
31.65254,-209.8609,-178.359,0.2158569,0.73591,0.20687940000000002,0.0,51.284634184036
31.66801,-209.8188,-178.2746,0.21830480000000002,0.7436571999999999,0.2096547,0.0,46.775045184620495
30.30779,-213.5144,-178.0682,0.1575716,0.3953974,-0.1269527,0.0,304.018855258085
30.27853,-213.5939,-178.1243,0.1530659,0.3802051,-0.1080044,0.0,310.90615531161995
30.27552,-213.6021,-177.9545,0.1540351,0.38795810000000003,-0.1439972,0.0,310.17914845527497
30.28643,-213.5724,-178.0444,0.15522819999999998,0.3876836,-0.1271007,0.0,307.148731098825
28.258,-219.0835,-174.9325,-0.002815794,0.001363026,-0.0132715,0.0,377.274428575715
28.23305,-219.1512,-174.8814,-0.00292038,0.001248929,-0.012807889999999999,0.0,377.284561075455
28.2944,-218.9845,-174.9071,-0.002935918,0.001253145,-0.01365219,0.0,377.27216209551
28.28237,-219.0173,-174.806,-0.003252943,0.0009563201,-0.01326131,0.0,377.28029475977496
28.25481,-219.0921,-174.9674,-0.002701608,0.001464241,-0.01330484,0.0,377.27669505591996
28.27068,-219.049,-174.9542,-0.0027582099999999997,0.0014198910000000002,-0.0134836,0.0,377.270695549495
27.00982,-222.4746,-182.084,0.06168228,0.2000655,0.1435942,0.0,386.22355900397497
27.0111,-222.4711,-182.0821,0.06164879,0.2000449,0.143529,0.0,386.203827293955
27.01282,-222.4665,-182.0825,0.06149317,0.19984369999999999,0.1433032,0.0,386.176362886765
27.01288,-222.4663,-182.0904,0.061145620000000005,0.19923590000000002,0.1428087,0.0,386.18182910372997
27.01473,-222.4613,-182.0468,0.0626039,0.2018198,0.1448469,0.0,386.12516709860495
27.0101,-222.4738,-182.08,0.06179321,0.2002648,0.1437444,0.0,386.210493412205
31.82217,-209.4,-178.0861,0.21872070000000002,0.7411957,0.2297168,0.0,38.5761197042155
31.89092,-209.2132,-178.1274,0.224134,0.7360178999999999,0.23329229999999998,0.0,37.730202630527
31.85776,-209.3033,-178.1512,0.22750710000000002,0.7401481,0.2310117,0.0,41.57387308124049
